nome,sigla,superior.sigla,unidade_organizacional.nome,is_siape,total_servidores
COORDENAÇÃO DE TURNO,C-TURNO-JP,DEPAP-JP,CAMPUS JOÃO PESSOA,False,2
COORDENAÇÃO DE ALIMENTAÇÃO E NUTRIÇÃO ESCOLAR - CAMPUS JP,CANUTRE-JP,DAEST-JP,CAMPUS JOÃO PESSOA,False,0
COORDENAÇÃO DE COMPRAS  ,CC-JP,DLOG-JP,CAMPUS JOÃO PESSOA,False,0
COORD. DO PROEJA - UA05 - CAMPUS JOÃO PESSOA,CPROEJA-JP,UA5-JP,CAMPUS JOÃO PESSOA,False,2
COORDENAÇÃO PEDAGÓGICA - CAMPUS JP,COPED-JP,DEPAP-JP,CAMPUS JOÃO PESSOA,False,4
" COORDENAÇÃO DO NÚCLEO DE ARTES, CULTURA E EVENTOS ",CNACE-JP,UA4-JP,CAMPUS JOÃO PESSOA,False,0
COORDENAÇÃO DE MULTIMEIOS - CAMPUS JOÃO PESSOA,CM-JP,DEPAP-JP,CAMPUS JOÃO PESSOA,False,0
COORD. DE LABORATÓRIOS DA UNIDADE ACADÊMICA 04 - CAMPUS JP,CLAB4-JP,UA4-JP,CAMPUS JOÃO PESSOA,False,0
DEPARTAMENTO DE GESTÃO E DESENVOLVIMENTO DE PESSOAS - CAMPUS JOÃO PESSOA,DGDP-JP,DG-JP,CAMPUS JOÃO PESSOA,False,13
COORDENAÇÃO DO GABINETE MÉDICO ODONTOLÓGICO - CAMPUS JOÃO PESSOA,CGMO-JP,DAEST-JP,CAMPUS JOÃO PESSOA,False,0
DEPARTAMENTO DE APOIO À ADMINISTRAÇÃO - CAMPUS JOÃO PESSOA,DAA-JP ,DAF-JP,CAMPUS JOÃO PESSOA,False,38
COORDENAÇÃO DE ESTÁGIO - CAMPUS JOÃO PESSOA,CE-JP,DDE-JP,CAMPUS JOÃO PESSOA,False,19
COORDENAÇÃO DO CURSO TÉCNICO EM CONTROLE AMBIENTAL INTEGRADO/TÉCNICO AO ENSINO MÉDIO  -  CAMPUS JP,CCTCA-JP,UA1-JP,CAMPUS JOÃO PESSOA,False,4
COORDENAÇÃO DO CURSO TÉCNICO EM EQUIPAMENTOS BIOMÉDICOS SUBSEQUENTE AO ENSINO MÉDIO  - CAMPUS JP ,CCTEB-JP,UA3-JP,CAMPUS JOÃO PESSOA,False,2
DEPARTAMENTO DE LOGÍSTICA - CAMPUS JOÃO PESSOA,DLOG-JP,DAF-JP,CAMPUS JOÃO PESSOA,False,7
COORD. DO CURSO TÉCNICO EM MECÂNICA - UA03 - CAMPUS JP,CCTMEC-JP,UA3-JP,CAMPUS JOÃO PESSOA,False,1
COORD. DO CURSO TÉCNICO EM MÚSICA - UA04 - CAMPUS JP,CCTMUS-JP,UA4-JP,CAMPUS JOÃO PESSOA,False,2
COORDENAÇÃO DO CURSO TÉCNICO EM ELETROTÉCNICA INTEGRADO/SUBSEQUENTE AO ENSINO MÉDIO  -  CAMPUS JP,CCTELT-JP ,UA3-JP,CAMPUS JOÃO PESSOA,False,3
COORDENAÇÃO DO CURSO TÉCNICO EM EDIFICAÇÕES INTEGRADO/SUBSEQUENTE AO ENSINO MÉDIO - CAMPUS JP ,CCTEDIF-JP,UA1-JP,CAMPUS JOÃO PESSOA,False,4
DEPARTAMENTO DE ORÇAMENTO E FINANÇAS,DOF-JP ,DAF-JP,CAMPUS JOÃO PESSOA,False,11
COORDENAÇÃO DO CURSO TÉCNICO EM ELETRÔNICA INTEGRADO/SUBSEQUENTE AO ENSINO MÉDIO  -  CAMPUS JP,CCTETRON-JP,UA3-JP,CAMPUS JOÃO PESSOA,False,5
COORDENAÇÃO DO CURSO SUPERIOR DE TECNOLOGIA EM SISTEMAS DE TELECOMUNICAÇÕES ,CCSTST-JP ,UA3-JP,CAMPUS JOÃO PESSOA,False,4
COORDENAÇÃO DO CURSO SUPERIOR DE TECNOLOGIA EM SISTEMAS PARA INTERNET ,CCSTSI-JP,UA2-JP,CAMPUS JOÃO PESSOA,False,1
COORDENAÇÃO DO CURSO SUPERIOR DE TECNOLOGIA EM REDES DE COMPUTADORES ,CCSTRC-JP,UA2-JP,CAMPUS JOÃO PESSOA,False,1
COORDENAÇÃO DO CURSO SUPERIOR DE TECNOLOGIA EM NEGÓCIOS IMOBILIÁRIOS ,CCSTNI-JP,UA5-JP,CAMPUS JOÃO PESSOA,False,3
"SECRETARIA DA DIRETORIA DE ADMINISTRAÇÃO, PLANEJAMENTO E FINANÇAS DO CAMPUS JOÃO PESSOA ",SECDAP-JP,DAF-JP,CAMPUS JOÃO PESSOA,False,0
COORDENAÇÃO DO CURSO SUPERIOR DE TECNOLOGIA EM GESTAO AMBIENTAL ,CCSTGA-JP,UA1-JP,CAMPUS JOÃO PESSOA,False,3
"COORDENAÇÃO DE COMUNICAÇÃO, CERIMONIAL E EVENTOS - CAMPUS JOÃO PESSOA",CCCE-JP,CGDG-JP,CAMPUS JOÃO PESSOA,False,6
COORDENAÇÃO DO CURSO SUPERIOR DE TECNOLOGIA EM GEOPROCESSAMENTO ,CCSTG-JP,UA1-JP,CAMPUS JOÃO PESSOA,False,2
COORDENAÇÃO DO CURSO SUPERIOR DE TECNOLOGIA EM DESIGN DE INTERIORES ,CCSTDI-JP,UA1-JP,CAMPUS JOÃO PESSOA,False,3
